%time(s),x1,x2,x3,x4,x5,u1,u2,y1,y2
0.09200,75.22226,300.59848,11.38628,0.20567,0.00916
0.09300,75.11167,304.57214,11.68688,0.20795,0.00936
0.09400,74.99868,308.53930,11.99145,0.21024,0.00957
0.09500,74.88339,312.49981,12.29999,0.21252,0.00978
0.09600,74.76596,316.45355,12.61249,0.21480,0.00999
0.09700,74.64647,320.40039,12.92894,0.21709,0.01021
0.09800,74.52506,324.34020,13.24934,0.21937,0.01042
0.09900,74.40181,328.27291,13.57368,0.22166,0.01064
0.10000,74.27684,332.19839,13.90196,0.22394,0.01086
0.10100,74.15022,336.11651,14.23415,0.22623,0.01109
0.10200,74.02205,340.02722,14.57027,0.22851,0.01131
0.10300,73.89243,343.93041,14.91030,0.23080,0.01154
0.10400,73.76143,347.82601,15.25423,0.23308,0.01177
0.10500,73.62914,351.71395,15.60205,0.23536,0.01201
0.10600,73.49562,355.59414,15.95377,0.23765,0.01224
0.10700,73.36096,359.46652,16.30936,0.23993,0.01248
0.10800,73.22521,363.33099,16.66883,0.24222,0.01272
0.10900,73.08846,367.18753,17.03216,0.24450,0.01296
0.11000,72.95075,371.03607,17.39935,0.24679,0.01321
0.11100,72.81214,374.87655,17.77038,0.24907,0.01345
0.11200,72.67271,378.70892,18.14526,0.25135,0.01370
0.11300,72.53250,382.53314,18.52397,0.25364,0.01395
0.11400,72.39156,386.34915,18.90650,0.25592,0.01421
0.11500,72.24994,390.15692,19.29285,0.25821,0.01446
0.11600,72.10769,393.95642,19.68301,0.26049,0.01472
0.11700,71.96486,397.74758,20.07697,0.26278,0.01498
0.11800,71.82149,401.53042,20.47472,0.26506,0.01525
0.11900,71.67761,405.30487,20.87625,0.26735,0.01551
0.12000,71.53328,409.07092,21.28155,0.26963,0.01578
0.12100,71.38853,412.82852,21.69062,0.27191,0.01605
0.12200,71.24339,416.57766,22.10345,0.27420,0.01632
0.12300,71.09790,420.31832,22.52003,0.27648,0.01659
0.12400,70.95208,424.05050,22.94035,0.27877,0.01687
0.12500,70.80599,427.77413,23.36440,0.28105,0.01715
0.12600,70.65963,431.48925,23.79217,0.28334,0.01743
0.12700,70.51305,435.19583,24.22366,0.28562,0.01771
0.12800,70.36626,438.89382,24.65886,0.28790,0.01800
0.12900,70.21929,442.58325,25.09775,0.29019,0.01829
0.13000,70.07218,446.26409,25.54034,0.29247,0.01858
0.13100,69.92493,449.93637,25.98660,0.29476,0.01887
0.13200,69.77758,453.60003,26.43654,0.29704,0.01916
0.13300,69.63014,457.25509,26.89014,0.29933,0.01946
0.13400,69.48265,460.90155,27.34739,0.30161,0.01976
